rule,name,value
ruler_329_r,average,1.0194999999999999
ruler_330_r,average,1.0194999999999999
ruler_331_r,average,1.0194999999999999
ruler_332_r,average,1.0194999999999999
ruler_333_r,average,1.0194999999999999
ruler_334_r,average,1.0194999999999999
ruler_335_r,average,1.0194999999999999
ruler_336_r,average,1.0194999999999999
ruler_337_r,average,1.0194999999999999
ruler_338_r,average,1.0194999999999999
ruler_339_r,average,1.0194999999999999
ruler_340_r,average,1.0194999999999999
ruler_341_r,average,1.0194999999999999
ruler_342_r,average,1.0194999999999999
ruler_343_r,average,1.0194999999999999
ruler_344_r,average,1.0194999999999999
ruler_345_r,average,1.0194999999999999
ruler_346_r,average,1.0194999999999999
ruler_347_r,average,1.0194999999999999
ruler_348_r,average,1.0194999999999999
ruler_349_r,average,1.0194999999999999
ruler_350_r,average,1.0194999999999999
ruler_351_r,average,1.0194999999999999
ruler_352_r,average,1.0194999999999999
ruler_353_r,average,1.0194999999999999
ruler_354_r,average,1.0194999999999999
ruler_355_r,average,1.0194999999999999
ruler_356_r,average,1.0194999999999999
ruler_357_r,average,1.0194999999999999
ruler_358_r,average,1.0194999999999999
ruler_359_r,average,1.0194999999999999
ruler_360_r,average,2.0195
ruler_361_r,average,2.0195
ruler_362_r,average,2.0195
ruler_363_r,average,3.0145
ruler_364_r,average,3.0145
ruler_365_r,average,3.0145
ruler_366_r,average,2.0195
ruler_367_r,average,3.0145
ruler_368_r,average,2.0195
ruler_369_r,average,3.0145
ruler_370_r,average,2.0195
ruler_371_r,average,2.0195
ruler_372_r,average,2.0195
ruler_373_r,average,3.0145
ruler_374_r,average,3.0145
ruler_375_r,average,3.0145
ruler_376_r,average,2.0195
ruler_377_r,average,3.0145
ruler_378_r,average,3.0145
ruler_379_r,average,3.0145
ruler_380_r,average,3.0145
ruler_381_r,average,2.0195
ruler_382_r,average,2.0195
ruler_383_r,average,2.0195
ruler_384_r,average,2.0195
ruler_385_r,average,3.0145
ruler_386_r,average,2.0195
ruler_387_r,average,3.0145
ruler_388_r,average,2.0195
